IP Year,Investment Name,Project Details,Department,Service Area,Investment Type,Capital Cost,Percent Funded,Class Estimate,SPAP Theme,Lifecycle Activity Driver,Neighbourhood,Ward,Location,Funded,Unfunded,Funding Year,Growth Enabling or Supportive,Previously Approved Project Funding,GAHP,Rank,Disposal,Preliminary Capital Cost 10 Year,Preliminary Funded 10 Year,Preliminary Unfunded 10 Year,Preliminary Capital Cost 6 Year,Preliminary Funded 6 Year,Preliminary Unfunded 6 Year
2023,Pan Am Pool - Facility Upgrades,text,Assets and Project Management,Recreation,Program,32770000,0,,Leadership & Good Governance,Upgrade,Grant Park,River Heights - Fort Garry,POINT (-97.17389347 49.85505337),0,728000,2026,,,,,,,,,,,
2023,Tree Replacement on Major Routes,text,Public Works,Urban Forests,Program,12688000,0,,Environmental Resilience,Renew,,,,0,1478000,2024,,,,,,,,,,,
2024,Fort Rouge - McFadyen Pedestrian Crossing,The proposed project involves construction of a new pedestrian and cycling bridge over the Assiniboine River and major refurbishment of McFadyen Park and Fort Rouge Park on either side of the bridge.,Public Works,Active Transportation,Project,0,0,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,Broadway-Assiniboine,Fort Rouge - East Fort Garry,POINT (-97.14168066 49.88396265),0,0,2029,,,Y,2,,,,,,,
2024,Regional Parks,"Refurbishment and/or improvements to various parks to repair aging park infrastructure and related amenities, or construct new amenities to address identified gaps in service.",Public Works,Parks - Regional,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,2990000,9344000,2027,,,Y,2,,,,,,,
2024,Desktop Hardware Program,"This program will allow the city to continue with the desktop hardware evergreening program for the City, with a proposed shift from operating expenses (Opex) to capital expenses (Capex). By making this shift, the City can free up operating dollars for investing in Software as a Service (SaaS) IT subscriptions, which will help the City transition to more Cloud-centric systems and enjoy their benefits. This shift in funding and technology infrastructure will enable the City to prioritize its technology investments and enhance its overall technology infrastructure.",Innovation and Technology,Multiple Organizational Support Services,Program,7138000,0,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2024,,,N,1,,,,,,,
2024,Spray Pad Investment Fund,Capital investment is required to construct new spray pads to address service gaps and replace and/or decommission end of service life wading pools. Selected locations will be in alignment with the customer levels of service defined in the Council adopted Wading Pool Rationalization & Spray Pad Reinvestment Strategy and the Winnipeg Recreation Strategy.,Community Services,Recreation,Program,0,1,,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,0,3900000,2033,,,Y,10,,,,,,,
2024,Flight Operations - Helicopter,The helicopter currently in use will reach the end of its useful life.,Winnipeg Police Service,Police Services,Project,0,0,4,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,0,2030,,,N,4,,,,,,,
2024,Arenas Structural Repairs Program,"Capital refurbishment/repairs related to structural and building envelope issues in 11 (eleven) indoor arenas owned and operated by the City of Winnipeg. Projects may include repairs to address corrosion of exterior steel columns, repair and cladding of exposed glulam beams, masonry repairs including mortar joint re-pointing, metal cladding repairs  to restore the continuity of  the building enclosure, repairs to the water management system(s) such as gutters, downspouts and splash pads, repair of structural concrete stairs and landings cladding, repairs to exterior concrete blocks and brick veneer, repairs or replacement of roofing systems, remediation of crawlspaces and application of an elastomeric coating to surfaces, etc.",Assets and Project Management,Recreation,Program,0,0,,A City that Works for Residents through Improved Customer Service,Renew,,,,0,0,2031,,,N,1,,,,,,,
2024,Outdoor Pools Capital Renewal Program,"The outdoor pool capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to 9 outdoor pools owned and operated by the City of Winnipeg. Projects may include deck and tank repairs, replacement of pool liners, renewal of play components and amenities, improvements to filtration, mechanical, HVAC, and electrical systems, accessibility improvements, and improvements to pool buildings or amenities.",Assets and Project Management,Recreation,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,1989000,2028,,,N,11,,,,,,,
2024,Abinojii Mikanah Extension East - Des Hivernants to Fermor,The proposed project involves the construction of a new four lane divided roadway from Lagimodiere to Fermor. This section of Abinojii Mikanah Boulevard is a southeast piece of the Inner Ring Road identified in the 2011 Transportation Master Plan.,Public Works,Roads - Regional,Project,0,0,5,A City that Works for Residents through Improved Customer Service,Growth,Sage Creek,St. Vital,POINT (-97.04055333 49.8405786),0,43236000,2028,Growth-supportive infrastructure,,N,7,,,,,,,
2024,Comprehensive Integrated Waste Management Strategy (CIWMS) - Source Separated Organics,"The proposed project will implement a full source separated organics program. This includes construction of a high-rate forced-aerated composting facility, provision for the purchase and delivery of carts for a third waste stream, and program implementation.",Water and Waste,Recycling & Waste Diversion,Project,0,0,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,,,,0,0,2033,,,N,1,,,,,,,
2024,Insect Control Branch Building and Yards - 3 Grey Street,"The proposed project involves the relocation of the Insect Control Building, Yards and Heliport at 3 Grey Street to city-owned lands adjacent to the South End Water Pollution Control Centre.",Public Works,Insect Control,Project,0,0,3,"A Livable, Safe, Healthy, Happy City",Upgrade,Tyne-Tees,Elmwood - East Kildonan,POINT (-97.09573193 49.902051),0,8101000,2025,,,N,1,,,,,,,
2024,Lift Station Upgrading: Station Rehabilitation,"This is a program for mitigating hydraulic, structural, safety, odour and aesthetic problems, as well as for undertaking capacity assessments for the 75 lift stations and associated force mains, gate chambers, and related works in the sewage collection system.",Water and Waste,Wastewater,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,7000000,0,2029,,,N,9,,,,,,,
2024,Vacuum Truck Decanting Facility,"Vacuum trucks are specifically designed trucks that periodically assist in cleaning underground sewers and catch basins. These vehicles then transport the solids/trash/debris material that has built up in sewers to Brady Road Resource Management Facility for disposal. In order to meet the liquid waste definition from the licence for Brady Road Resource Management Facility, Licence No 3081 R, the vacuum truck materials must meet specific criteria for disposal. This project includes a feasibility study (2023), interim solution (2024), and design and construction of a dedicated facility (2028) to dewater material from vacuum trucks prior to disposal.",Water and Waste,Wastewater,Project,0,1,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,,,,0,0,2027,,,N,7,,,,,,,
2024,Road Safety Improvement Program,"This is an annual program which includes city-wide installation of new full signals, half signals and pedestrian corridors based on priority warrant systems, traffic calming measures, left turn signal phases, and other roadside safety improvements.",Public Works,Roads - Regional,Program,0,1,,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,2500000,2196000,2025,,,Y,1,,,,,,,
2024,River Crossings Monitoring and Rehabilitation,"This program is for the condition assessment, rehabilitation and/or replacement of the sewer river crossings, and for the installation of leak detection equipment on the existing waterway crossings. The department has completed a risk assessment of all river crossings in order to determine a prioritization plan for ongoing condition assessment as well as to upgrade and replace any at-risk crossings as required by Environment Licences issued by the Province of Manitoba for the wastewater collection system in the City of Winnipeg. These funds will also be used to install continuous leak detection monitoring equipment at river crossings as required by the Provincial Environmental Licence.",Water and Waste,Wastewater,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2028,,,N,19,,,,,,,
2023,Rapid Transit Construction,text,Winnipeg Transit,Public Transit,Program,1260645000,0,,City Building,Growth,,,,0,0,2026,,,,,,,,,,,
2024,Regional and Local Street Renewal,"The Regional Street Renewal program includes the renewal and reconstruction of the City's regional streets, sidewalks and recreational walkways/paths, as well as incorporating pedestrian and cycling facilities on regional street renewal projects where identified in the Winnipeg Pedestrian and Cycling Strategies. The program also funds the condition rating of regional streets. The purpose of this program is to maintain the level of service, structural integrity, and rideability of the transportation infrastructure network.",Public Works,Roads - Regional,Program,0,1,,A City that Works for Residents through Improved Customer Service,Renew,,,,160545000,0,2026,,,Y,3,,,,,,,
2023,Communication Sites - P25 Sub Gear/Infrastructure,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,25530000,0,3,City Building,Renew,,,,0,591000,2027,,,,,,,,,,,
2023,Equipment Obsolescence,text,Fire Paramedic Service,Fire & Medical Response,Program,26440000,1,,Good Health & Well-Being,Renew,,,,816000,0,2025,,,,,,,,,,,
2024,Customer Care and Billing System (formerly Customer Billing and Work Management Systems Upgrades Program),"Work Order and Asset Management (WAM) is used in the delivery of Water and Wastewater services for work planning, management, infrastructure preventative maintenance and renewal programs. Ongoing product updates are required to ensure the WAM system can support the day-to-day operations within the Water and Waste Department.",Innovation and Technology,Water,Program,0,1,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,1000000,0,2030,,,N,2,,,,,,,
2024,Study of Backup Power Supply for the Hurst Pumping Station,An RFP for conceptual design will be developed and the City will retain an experienced consulting engineering firm to conduct conceptual design to assess the need and scope of implementing backup power at the Hurst PS. Conceptual design will establish a Class 4 cost estimate and implementation timeline.,Water and Waste,Water,Project,0,1,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,Parker,River Heights - Fort Garry,POINT (-97.16479128 49.85029894),0,0,2027,,,N,6,,,,,,,
